word,category,minLevel,maxLevel,difficultyBand
EVEN,common,1,999,2
MUCH,common,1,999,2
DOING,common,1,999,3
SURE,common,1,999,2
THING,common,1,999,3
THESE,common,1,999,3
HELP,common,1,999,2
FIRST,common,1,999,3
INTO,common,1,999,2
ANYTHING,common,1,999,5
STILL,common,1,999,3
FIND,common,1,999,2
LIFE,common,1,999,2
NOTHING,common,1,999,5
SIR,common,1,999,1
DAY,common,1,999,1
GOD,common,1,999,1
WORK,common,1,999,2
THEIR,common,1,999,3
AGAIN,common,1,999,3
MAYBE,common,1,999,3
MUST,common,1,999,2
BEFORE,common,1,999,4
OTHER,common,1,999,3
WAIT,common,1,999,2
STOP,common,1,999,2
CALL,common,1,999,2
AFTER,common,1,999,3
WON,common,1,999,1
TALK,common,1,999,2
AWAY,common,1,999,2
THAN,common,1,999,2
THOUGHT,common,1,999,5
HOME,common,1,999,2
NIGHT,common,1,999,3
PUT,common,1,999,1
GREAT,common,1,999,3
THOSE,common,1,999,3
LAST,common,1,999,2
BETTER,common,1,999,4
EVERYTHING,common,1,999,5
TOLD,common,1,999,2
NEW,common,1,999,1
THINGS,common,1,999,4
ALWAYS,common,1,999,4
KEEP,common,1,999,2
LONG,common,1,999,2
YEARS,common,1,999,3
LEAVE,common,1,999,3
DOES,common,1,999,2
MONEY,common,1,999,3
AROUND,common,1,999,4
DOESN,common,1,999,3
NAME,common,1,999,2
PLACE,common,1,999,3
EVER,common,1,999,2
FEEL,common,1,999,2
GUYS,common,1,999,2
FATHER,common,1,999,4
GUY,common,1,999,1
MADE,common,1,999,2
OLD,common,1,999,1
ISN,common,1,999,1
WHICH,common,1,999,3
BIG,common,1,999,1
LOT,common,1,999,1
DONE,common,1,999,2
HELLO,common,1,999,3
NICE,common,1,999,2
BELIEVE,common,1,999,5
GIRL,common,1,999,2
SOMEONE,common,1,999,5
FINE,common,1,999,2
THANKS,common,1,999,4
WANTED,common,1,999,4
KIND,common,1,999,2
COMING,common,1,999,4
HOUSE,common,1,999,3
EVERY,common,1,999,3
THROUGH,common,1,999,5
BEING,common,1,999,3
COURSE,common,1,999,4
STAY,common,1,999,2
LEFT,common,1,999,2
DAD,common,1,999,1
ENOUGH,common,1,999,4
HAPPENED,common,1,999,5
CAME,common,1,999,2
MAY,common,1,999,1
MOTHER,common,1,999,4
WRONG,common,1,999,3
WORLD,common,1,999,3
BAD,common,1,999,1
MIGHT,common,1,999,3
THREE,common,1,999,3
TODAY,common,1,999,3
LISTEN,common,1,999,4
ANOTHER,common,1,999,5
UNDERSTAND,common,1,999,5
HEAR,common,1,999,2
REMEMBER,common,1,999,5
ASK,common,1,999,1
OWN,common,1,999,1
SAME,common,1,999,2
SHOW,common,1,999,2
ELSE,common,1,999,2
KILL,common,1,999,2
TALKING,common,1,999,5
FOUND,common,1,999,3
NEXT,common,1,999,2
GETTING,common,1,999,5
CARE,common,1,999,2
CAR,common,1,999,1
LOOKING,common,1,999,5
SON,common,1,999,1
WOMAN,common,1,999,3
WENT,common,1,999,2
DEAD,common,1,999,2
MANY,common,1,999,2
MIND,common,1,999,2
WASN,common,1,999,2
FRIEND,common,1,999,4
BEST,common,1,999,2
MOM,common,1,999,1
HELL,common,1,999,2
MORNING,common,1,999,5
TRYING,common,1,999,4
BOY,common,1,999,1
TOGETHER,common,1,999,5
YOURSELF,common,1,999,5
JOB,common,1,999,1
SAW,common,1,999,1
FAMILY,common,1,999,4
REAL,common,1,999,2
WITHOUT,common,1,999,5
BABY,common,1,999,2
ROOM,common,1,999,2
WOULDN,common,1,999,4
ALREADY,common,1,999,5
MOVE,common,1,999,2
MOST,common,1,999,2
SEEN,common,1,999,2
LIVE,common,1,999,2
MISS,common,1,999,2
ACTUALLY,common,1,999,5
HUH,common,1,999,1
SHIT,common,1,999,2
BOTH,common,1,999,2
HEARD,common,1,999,3
ONCE,common,1,999,2
READY,common,1,999,3
HEAD,common,1,999,2
CALLED,common,1,999,4
USED,common,1,999,2
IDEA,common,1,999,2
KNEW,common,1,999,2
HOLD,common,1,999,2
HAPPY,common,1,999,3
DOOR,common,1,999,2
SUCH,common,1,999,2
FUCK,common,1,999,2
BROTHER,common,1,999,5
ALSO,common,1,999,2
PRETTY,common,1,999,4
BIT,common,1,999,1
TOOK,common,1,999,2
HAVEN,common,1,999,3
YET,common,1,999,1
MEN,common,1,999,1
WHOLE,common,1,999,3
START,common,1,999,3
USE,common,1,999,1
WHILE,common,1,999,3
SINCE,common,1,999,3
WIFE,common,1,999,2
DAYS,common,1,999,2
GUESS,common,1,999,3
TOMORROW,common,1,999,5
MATTER,common,1,999,4
MEET,common,1,999,2
BRING,common,1,999,3
TONIGHT,common,1,999,5
EVERYONE,common,1,999,5
RUN,common,1,999,1
WANNA,common,1,999,3
HARD,common,1,999,2
ALONE,common,1,999,3
MYSELF,common,1,999,4
SCHOOL,common,1,999,4
GONE,common,1,999,2
END,common,1,999,1
SAYING,common,1,999,4
PHONE,common,1,999,3
PLAY,common,1,999,2
LOOKS,common,1,999,3
COULDN,common,1,999,4
FUCKING,common,1,999,5
PROBLEM,common,1,999,5
FEW,common,1,999,1
FRIENDS,common,1,999,5
GOTTA,common,1,999,3
AGO,common,1,999,1
OPEN,common,1,999,2
ANYONE,common,1,999,4
KILLED,common,1,999,4
HOPE,common,1,999,2
FACE,common,1,999,2
UNTIL,common,1,999,3
LOST,common,1,999,2
POLICE,common,1,999,4
EXCUSE,common,1,999,4
TURN,common,1,999,2
BUSINESS,common,1,999,5
CASE,common,1,999,2
WANTS,common,1,999,3
SAYS,common,1,999,2
TRUE,common,1,999,2
DIE,common,1,999,1
HEART,common,1,999,3
SOON,common,1,999,2
EACH,common,1,999,2
WORRY,common,1,999,3
LATER,common,1,999,3
YEAR,common,1,999,2
WATCH,common,1,999,3
MUSIC,common,1,999,3
HAND,common,1,999,2
HAVING,common,1,999,4
PROBABLY,common,1,999,5
BEAUTIFUL,common,1,999,5
DOCTOR,common,1,999,4
SIT,common,1,999,1
EAT,common,1,999,1
THINKING,common,1,999,5
YOUNG,common,1,999,3
SECOND,common,1,999,4
WORKING,common,1,999,5
WATER,common,1,999,3
PERSON,common,1,999,4
PART,common,1,999,2
KIDS,common,1,999,2
LATE,common,1,999,2
STUFF,common,1,999,3
EXACTLY,common,1,999,5
UNDER,common,1,999,3
DEATH,common,1,999,3
MINUTE,common,1,999,4
PAY,common,1,999,1
CRAZY,common,1,999,3
FORGET,common,1,999,4
EVERYBODY,common,1,999,5
KID,common,1,999,1
CHANGE,common,1,999,4
GAVE,common,1,999,2
HAPPEN,common,1,999,4
DAMN,common,1,999,2
FIVE,common,1,999,2
DRINK,common,1,999,3
FAR,common,1,999,1
KNOWS,common,1,999,3
ITS,common,1,999,1
WHATEVER,common,1,999,5
EYES,common,1,999,2
SHUT,common,1,999,2
AREN,common,1,999,2
HIT,common,1,999,1
TAKING,common,1,999,4
EASY,common,1,999,2
TIMES,common,1,999,3
CHECK,common,1,999,3
HANDS,common,1,999,3
MINUTES,common,1,999,5
DEAL,common,1,999,2
DIFFERENT,common,1,999,5
MEANS,common,1,999,3
POINT,common,1,999,3
INSIDE,common,1,999,4
MAKES,common,1,999,3
ASKED,common,1,999,3
SOMEBODY,common,1,999,5
MINE,common,1,999,2
MAKING,common,1,999,4
BODY,common,1,999,2
AFRAID,common,1,999,4
SLEEP,common,1,999,3
CHANCE,common,1,999,4
DEAR,common,1,999,2
QUITE,common,1,999,3
FOUR,common,1,999,2
ANYWAY,common,1,999,4
CLOSE,common,1,999,3
AIN,common,1,999,1
PARTY,common,1,999,3
FUN,common,1,999,1
AGAINST,common,1,999,5
WORD,common,1,999,2
COMES,common,1,999,3
IMPORTANT,common,1,999,5
SET,common,1,999,1
SHALL,common,1,999,3
STORY,common,1,999,3
NUMBER,common,1,999,4
DAUGHTER,common,1,999,5
LEAST,common,1,999,3
WAITING,common,1,999,5
HURT,common,1,999,2
WISH,common,1,999,2
MOMENT,common,1,999,4
FIGHT,common,1,999,3
WEEK,common,1,999,2
HUSBAND,common,1,999,5
GIRLS,common,1,999,3
REST,common,1,999,2
MARRIED,common,1,999,5
FIRE,common,1,999,2
GAME,common,1,999,2
NOBODY,common,1,999,4
CHILDREN,common,1,999,5
SIDE,common,1,999,2
STAND,common,1,999,3
READ,common,1,999,2
THOUGH,common,1,999,4
CUT,common,1,999,1
STARTED,common,1,999,5
SISTER,common,1,999,4
SUPPOSED,common,1,999,5
BETWEEN,common,1,999,5
CHILD,common,1,999,3
GOES,common,1,999,2
HOURS,common,1,999,3
SPEAK,common,1,999,3
WOMEN,common,1,999,3
BEHIND,common,1,999,4
ALMOST,common,1,999,4
TRUTH,common,1,999,3
BLOOD,common,1,999,3
ABLE,common,1,999,2
LADY,common,1,999,2
ANYMORE,common,1,999,5
PLAYING,common,1,999,5
GETS,common,1,999,2
SHOT,common,1,999,2
REASON,common,1,999,4
TROUBLE,common,1,999,5
BREAK,common,1,999,3
WAR,common,1,999,1
CITY,common,1,999,2
WALK,common,1,999,2
TOWN,common,1,999,2
TRUST,common,1,999,3
MET,common,1,999,1
OFFICE,common,1,999,4
QUESTION,common,1,999,5
BROUGHT,common,1,999,5
YOURS,common,1,999,3
WELCOME,common,1,999,5
HIGH,common,1,999,2
WOW,common,1,999,1
COUPLE,common,1,999,4
HALF,common,1,999,2
DIED,common,1,999,2
COOL,common,1,999,2
FREE,common,1,999,2
EITHER,common,1,999,4
SEEMS,common,1,999,3
POWER,common,1,999,3
WHOA,common,1,999,2
BYE,common,1,999,1
BUY,common,1,999,1
TELLING,common,1,999,5
HONEY,common,1,999,3
TRIED,common,1,999,3
FRONT,common,1,999,3
TEAM,common,1,999,2
ANSWER,common,1,999,4
GUN,common,1,999,1
BOYS,common,1,999,2
LINE,common,1,999,2
SEND,common,1,999,2
NEWS,common,1,999,2
STUPID,common,1,999,4
BED,common,1,999,1
HURRY,common,1,999,3
FULL,common,1,999,2
MONTHS,common,1,999,4
SAVE,common,1,999,2
SOMETIMES,common,1,999,5
BECOME,common,1,999,4
ALONG,common,1,999,3
HATE,common,1,999,2
FOOD,common,1,999,2
OUTSIDE,common,1,999,5
LIGHT,common,1,999,3
NEEDS,common,1,999,3
DOG,common,1,999,1
COUNTRY,common,1,999,5
CLEAR,common,1,999,3
ORDER,common,1,999,3
FACT,common,1,999,2
LORD,common,1,999,2
CAPTAIN,common,1,999,5
SIX,common,1,999,1
HOT,common,1,999,1
FUNNY,common,1,999,3
BLACK,common,1,999,3
ALIVE,common,1,999,3
PICK,common,1,999,2
FEELING,common,1,999,5
LIVING,common,1,999,4
CAUSE,common,1,999,3
AHEAD,common,1,999,3
LOSE,common,1,999,2
KING,common,1,999,2
PLAN,common,1,999,2
DINNER,common,1,999,4
SIGHS,common,1,999,3
SORT,common,1,999,2
LEAVING,common,1,999,5
SHOULDN,common,1,999,5
RUNNING,common,1,999,5
BOSS,common,1,999,2
ALRIGHT,common,1,999,5
PROMISE,common,1,999,5
TAKEN,common,1,999,3
SAFE,common,1,999,2
BOOK,common,1,999,2
SENT,common,1,999,2
WHITE,common,1,999,3
HOUR,common,1,999,2
ANYBODY,common,1,999,5
SMALL,common,1,999,3
PERFECT,common,1,999,5
LIVES,common,1,999,3
SPECIAL,common,1,999,5
PARENTS,common,1,999,5
JOHN,common,1,999,2
HIMSELF,common,1,999,5
PERHAPS,common,1,999,5
SOUNDS,common,1,999,4
SERIOUS,common,1,999,5
SICK,common,1,999,2
COMPANY,common,1,999,5
SCARED,common,1,999,4
UNCLE,common,1,999,3
POOR,common,1,999,2
RED,common,1,999,1
PAST,common,1,999,2
EARTH,common,1,999,3
POSSIBLE,common,1,999,5
SHOOT,common,1,999,3
TOUCH,common,1,999,3
SOUND,common,1,999,3
TOP,common,1,999,1
ASS,common,1,999,1
LAUGHS,common,1,999,4
CANNOT,common,1,999,4
ASKING,common,1,999,4
WIN,common,1,999,1
GLAD,common,1,999,2
CONTROL,common,1,999,5
HUMAN,common,1,999,3
DRIVE,common,1,999,3
HAIR,common,1,999,2
JACK,common,1,999,2
BITCH,common,1,999,3
LUCK,common,1,999,2
MURDER,common,1,999,4
HAPPENS,common,1,999,5
AIR,common,1,999,1
TEN,common,1,999,1
DADDY,common,1,999,3
FINALLY,common,1,999,5
CHUCKLES,common,1,999,5
FAST,common,1,999,2
COLD,common,1,999,2
SEEM,common,1,999,2
LAUGHING,common,1,999,5
WORDS,common,1,999,3
HOSPITAL,common,1,999,5
STREET,common,1,999,4
HANG,common,1,999,2
DANCE,common,1,999,3
MEETING,common,1,999,5
TILL,common,1,999,2
OTHERS,common,1,999,4
CATCH,common,1,999,3
FOLLOW,common,1,999,4
SENSE,common,1,999,3
SEX,common,1,999,1
LIE,common,1,999,1
EVENING,common,1,999,5
MASTER,common,1,999,4
KNOWN,common,1,999,3
DREAM,common,1,999,3
WRITE,common,1,999,3
MILLION,common,1,999,5
VOICE,common,1,999,3
SWEET,common,1,999,3
RATHER,common,1,999,4
FELT,common,1,999,2
SIGN,common,1,999,2
LUCKY,common,1,999,3
SOMEWHERE,common,1,999,5
BET,common,1,999,1
JESUS,common,1,999,3
LONGER,common,1,999,4
CALLING,common,1,999,5
WORKED,common,1,999,4
QUIET,common,1,999,3
LOOKED,common,1,999,4
LESS,common,1,999,2
PULL,common,1,999,2
BEAT,common,1,999,2
CAREFUL,common,1,999,5
COFFEE,common,1,999,4
RETURN,common,1,999,4
SECRET,common,1,999,4
WEEKS,common,1,999,3
WEREN,common,1,999,3
DATE,common,1,999,2
SEEING,common,1,999,4
FALL,common,1,999,2
GIVEN,common,1,999,3
OOH,common,1,999,1
FAULT,common,1,999,3
STRAIGHT,common,1,999,5
TAKES,common,1,999,3
SONG,common,1,999,2
FUTURE,common,1,999,4
GENTLEMEN,common,1,999,5
LOVED,common,1,999,3
CHANGED,common,1,999,5
ROAD,common,1,999,2
CALM,common,1,999,2
WONDERFUL,common,1,999,5
MAD,common,1,999,1
TURNED,common,1,999,4
DROP,common,1,999,2
LADIES,common,1,999,4
LEARN,common,1,999,3
STEP,common,1,999,2
ABSOLUTELY,common,1,999,5
EARLY,common,1,999,3
EXPLAIN,common,1,999,5
CLEAN,common,1,999,3
PIECE,common,1,999,3
YESTERDAY,common,1,999,5
THROW,common,1,999,3
PICTURE,common,1,999,5
LAND,common,1,999,2
FEET,common,1,999,2
WONDER,common,1,999,4
QUESTIONS,common,1,999,5
SPEAKING,common,1,999,5
WORTH,common,1,999,3
DARLING,common,1,999,5
DUDE,common,1,999,2
GIVING,common,1,999,4
PRESIDENT,common,1,999,5
EYE,common,1,999,1
QUICK,common,1,999,3
MOVING,common,1,999,4
FIGURE,common,1,999,4
STATE,common,1,999,3
STRONG,common,1,999,4
SAM,common,1,999,1
NONE,common,1,999,2
AMAZING,common,1,999,5
ONES,common,1,999,2
WORKS,common,1,999,3
ACT,common,1,999,1
NEEDED,common,1,999,4
WEIRD,common,1,999,3
LAW,common,1,999,1
WORRIED,common,1,999,5
REPORT,common,1,999,4
GOODBYE,common,1,999,5
MISSING,common,1,999,5
CHOICE,common,1,999,4
HAPPENING,common,1,999,5
CHIEF,common,1,999,3
WEDDING,common,1,999,5
STRANGE,common,1,999,5
GENERAL,common,1,999,5
PAIN,common,1,999,2
KIDDING,common,1,999,5
DECIDED,common,1,999,5
PASS,common,1,999,2
TIRED,common,1,999,3
CLASS,common,1,999,3
OFFICER,common,1,999,5
KEPT,common,1,999,2
WAKE,common,1,999,2
WORSE,common,1,999,3
BUSY,common,1,999,2
MISTAKE,common,1,999,5
KISS,common,1,999,2
COURT,common,1,999,3
BUILDING,common,1,999,5
FINISH,common,1,999,4
DURING,common,1,999,4
AGE,common,1,999,1
SHIP,common,1,999,2
CAUGHT,common,1,999,4
MARRY,common,1,999,3
MEANT,common,1,999,3
SELL,common,1,999,2
DARK,common,1,999,2
WATCHING,common,1,999,5
SYSTEM,common,1,999,4
SUPPOSE,common,1,999,5
EVIDENCE,common,1,999,5
MOVIE,common,1,999,3
RIDE,common,1,999,2
COMPLETELY,common,1,999,5
MOUTH,common,1,999,3
TOTALLY,common,1,999,5
BIRTHDAY,common,1,999,5
FORGIVE,common,1,999,5
BORN,common,1,999,2
IMAGINE,common,1,999,5
INSTEAD,common,1,999,5
DEFINITELY,common,1,999,5
SECURITY,common,1,999,5
CERTAINLY,common,1,999,5
FILM,common,1,999,2
MONTH,common,1,999,3
LYING,common,1,999,3
UNLESS,common,1,999,4
TRAIN,common,1,999,3
SEVEN,common,1,999,3
WEAR,common,1,999,2
CLOTHES,common,1,999,5
MICHAEL,common,1,999,5
HOTEL,common,1,999,3
CHRISTMAS,common,1,999,5
ATTACK,common,1,999,4
HASN,common,1,999,2
ROUND,common,1,999,3
EXPECT,common,1,999,4
SING,common,1,999,2
TERRIBLE,common,1,999,5
GEORGE,common,1,999,4
BAG,common,1,999,1
HISTORY,common,1,999,5
BLUE,common,1,999,2
NEAR,common,1,999,2
BROKE,common,1,999,3
STATION,common,1,999,5
SERIOUSLY,common,1,999,5
FOREVER,common,1,999,5
DAVID,common,1,999,3
FRANK,common,1,999,3
EXCEPT,common,1,999,4
THINKS,common,1,999,4
MESSAGE,common,1,999,5
ENTIRE,common,1,999,4
JOE,common,1,999,1
TABLE,common,1,999,3
TALKED,common,1,999,4
ACROSS,common,1,999,4
ROCK,common,1,999,2
LOVELY,common,1,999,4
HANDLE,common,1,999,4
MIDDLE,common,1,999,4
BUDDY,common,1,999,3
PAID,common,1,999,2
PROTECT,common,1,999,5
USING,common,1,999,3
FLOOR,common,1,999,3
RAN,common,1,999,1
SWEAR,common,1,999,3
SPEND,common,1,999,3
SITUATION,common,1,999,5
RING,common,1,999,2
ANYWHERE,common,1,999,5
DANGEROUS,common,1,999,5
BILL,common,1,999,2
YORK,common,1,999,2
ARMY,common,1,999,2
LEAD,common,1,999,2
BOUGHT,common,1,999,4
FINISHED,common,1,999,5
FAIR,common,1,999,2
SUN,common,1,999,1
LETTER,common,1,999,4
FOOL,common,1,999,2
ATTENTION,common,1,999,5
CLUB,common,1,999,2
SIMPLE,common,1,999,4
SPACE,common,1,999,3
TEST,common,1,999,2
BOX,common,1,999,1
GROUP,common,1,999,3
SINGLE,common,1,999,4
SITTING,common,1,999,5
MARRIAGE,common,1,999,5
JOIN,common,1,999,2
FEAR,common,1,999,2
PEACE,common,1,999,3
FORGOT,common,1,999,4
FORCE,common,1,999,3
SHORT,common,1,999,3
NORMAL,common,1,999,4
CHARLIE,common,1,999,5
PRESENT,common,1,999,5
ENJOY,common,1,999,3
MIKE,common,1,999,2
CRIME,common,1,999,3
HORSE,common,1,999,3
GROUND,common,1,999,4
AMERICAN,common,1,999,5
COUNT,common,1,999,3
AREA,common,1,999,2
CHARGE,common,1,999,4
HONOR,common,1,999,3
LUNCH,common,1,999,3
MILES,common,1,999,3
RADIO,common,1,999,3
IDIOT,common,1,999,3
BALL,common,1,999,2
SURPRISE,common,1,999,5
PAPER,common,1,999,3
KEY,common,1,999,1
BOAT,common,1,999,2
QUICKLY,common,1,999,5
GOLD,common,1,999,2
BAR,common,1,999,1
FISH,common,1,999,2
MARK,common,1,999,2
TOM,common,1,999,1
WEARING,common,1,999,5
CRYING,common,1,999,4
ACCIDENT,common,1,999,5
GOVERNMENT,common,1,999,5
EIGHT,common,1,999,3
FELL,common,1,999,2
COVER,common,1,999,3
CERTAIN,common,1,999,5
INTERESTED,common,1,999,5
DEEP,common,1,999,2
STAR,common,1,999,2
SEA,common,1,999,1
AGREE,common,1,999,3
PROBLEMS,common,1,999,5
DETECTIVE,common,1,999,5
PRISON,common,1,999,4
MAJOR,common,1,999,3
STICK,common,1,999,3
OFFER,common,1,999,3
DIFFICULT,common,1,999,5
SMART,common,1,999,3
PERSONAL,common,1,999,5
RECORD,common,1,999,4
STOPPED,common,1,999,5
HIDE,common,1,999,2
WHETHER,common,1,999,5
BANK,common,1,999,2
TRIP,common,1,999,2
RELAX,common,1,999,3
AMERICA,common,1,999,5
PUBLIC,common,1,999,4
LIST,common,1,999,2
AFTERNOON,common,1,999,5
BRAIN,common,1,999,3
FIX,common,1,999,1
BASTARD,common,1,999,5
PROUD,common,1,999,3
TEA,common,1,999,1
SERVICE,common,1,999,5
SCREAMING,common,1,999,5
FORWARD,common,1,999,5
ANGRY,common,1,999,3
PARK,common,1,999,2
SOUL,common,1,999,2
FIGHTING,common,1,999,5
PETER,common,1,999,3
RICH,common,1,999,2
AGENT,common,1,999,3
BLOW,common,1,999,2
PAUL,common,1,999,2
DRESS,common,1,999,3
MARY,common,1,999,2
MISSED,common,1,999,4
SCENE,common,1,999,3
KILLING,common,1,999,5
STANDING,common,1,999,5
SAVED,common,1,999,3
RESPECT,common,1,999,5
KILLER,common,1,999,4
ICE,common,1,999,1
MESS,common,1,999,2
TOUGH,common,1,999,3
FEELS,common,1,999,3
CHURCH,common,1,999,4
SAD,common,1,999,1
CELL,common,1,999,2
DRUNK,common,1,999,3
SHARE,common,1,999,3
CAMERA,common,1,999,4
WITHIN,common,1,999,4
CARD,common,1,999,2
BEN,common,1,999,1
GIRLFRIEND,common,1,999,5
LAUGH,common,1,999,3
SMELL,common,1,999,3
BROKEN,common,1,999,4
MUM,common,1,999,1
HONEST,common,1,999,4
OFTEN,common,1,999,3
STARTING,common,1,999,5
CALLS,common,1,999,3
SPENT,common,1,999,3
THIRD,common,1,999,3
ENGLISH,common,1,999,5
VISIT,common,1,999,3
MAMA,common,1,999,2
JUDGE,common,1,999,3
WINDOW,common,1,999,4
HUNGRY,common,1,999,4
DARE,common,1,999,2
MOVED,common,1,999,3
PROVE,common,1,999,3
PRIVATE,common,1,999,5
WALL,common,1,999,2
SEAT,common,1,999,2
POSITION,common,1,999,5
LIEUTENANT,common,1,999,5
REALIZE,common,1,999,5
ESPECIALLY,common,1,999,5
MACHINE,common,1,999,5
WALKING,common,1,999,5
ART,common,1,999,1
PLEASURE,common,1,999,5
BLOODY,common,1,999,4
COLLEGE,common,1,999,5
FRENCH,common,1,999,4
INVOLVED,common,1,999,5
BECAME,common,1,999,4
LIVED,common,1,999,3
IMPOSSIBLE,common,1,999,5
OBVIOUSLY,common,1,999,5
NEITHER,common,1,999,5
ACCEPT,common,1,999,4
BOYFRIEND,common,1,999,5
BESIDES,common,1,999,5
QUEEN,common,1,999,3
TEACHER,common,1,999,5
COPS,common,1,999,2
SAKE,common,1,999,2
LOVES,common,1,999,3
CARRY,common,1,999,3
TEACH,common,1,999,3
APARTMENT,common,1,999,5
UPSET,common,1,999,3
GREEN,common,1,999,3
LIKED,common,1,999,3
CUTE,common,1,999,2
EVIL,common,1,999,2
PROFESSOR,common,1,999,5
CONTACT,common,1,999,5
JOKE,common,1,999,2
COP,common,1,999,1
HUGE,common,1,999,2
HOLY,common,1,999,2
STORE,common,1,999,3
JAIL,common,1,999,2
LIKES,common,1,999,3
LAWYER,common,1,999,4
DOUBT,common,1,999,3
CONTINUE,common,1,999,5
APPRECIATE,common,1,999,5
CAT,common,1,999,1
SHOP,common,1,999,2
DRIVING,common,1,999,5
WROTE,common,1,999,3
VILLAGE,common,1,999,5
QUIT,common,1,999,2
FIELD,common,1,999,3
JAMES,common,1,999,3
WINE,common,1,999,2
DECISION,common,1,999,5
SOUTH,common,1,999,3
SLEEPING,common,1,999,5
SLOW,common,1,999,2
LAUGHTER,common,1,999,5
ISLAND,common,1,999,4
GLASS,common,1,999,3
BEGINNING,common,1,999,5
CASH,common,1,999,2
DYING,common,1,999,3
HUNDRED,common,1,999,5
WHOSE,common,1,999,3
DIFFERENCE,common,1,999,5
PLANE,common,1,999,3
PUSH,common,1,999,2
CONTINUES,common,1,999,5
SINGING,common,1,999,5
EATING,common,1,999,4
NORTH,common,1,999,3
TREE,common,1,999,2
MADAM,common,1,999,3
GIFT,common,1,999,2
TRUCK,common,1,999,3
PUTTING,common,1,999,5
BEAR,common,1,999,2
BOARD,common,1,999,3
GRAB,common,1,999,2
BEER,common,1,999,2
STUCK,common,1,999,3
MAGIC,common,1,999,3
SUPPORT,common,1,999,5
RULES,common,1,999,3
GRUNTS,common,1,999,4
PARTNER,common,1,999,5
REACH,common,1,999,3
WIND,common,1,999,2
COLONEL,common,1,999,5
MAX,common,1,999,1
SECONDS,common,1,999,5
THOUSAND,common,1,999,5
GIVES,common,1,999,3
EXPERIENCE,common,1,999,5
CHEERS,common,1,999,4
VICTIM,common,1,999,4
UPON,common,1,999,2
COMPUTER,common,1,999,5
CHRIST,common,1,999,4
PLANET,common,1,999,4
PROMISED,common,1,999,5
BUS,common,1,999,1
HENRY,common,1,999,3
DIRTY,common,1,999,3
SEARCH,common,1,999,4
STAYING,common,1,999,5
DREAMS,common,1,999,4
ARREST,common,1,999,4
HOLDING,common,1,999,5
SUDDENLY,common,1,999,5
USUALLY,common,1,999,5
LOTS,common,1,999,2
SHOES,common,1,999,3
JUMP,common,1,999,2
RID,common,1,999,1
KNOCK,common,1,999,3
OWE,common,1,999,1
HARRY,common,1,999,3
GROW,common,1,999,2
WORST,common,1,999,3
RIVER,common,1,999,3
AUNT,common,1,999,2
PATIENT,common,1,999,5
KITCHEN,common,1,999,5
AAH,common,1,999,1
FAT,common,1,999,1
PASSED,common,1,999,4
FINAL,common,1,999,3
SUMMER,common,1,999,4
BOB,common,1,999,1
